Player,Squad,Pos,Age,Gls,Ast,Min,MP,GS,xG,npxG,xAG,PrgC,PrgP,Yellow,Red,League,Country,Source,Source_URL
Brenden Aaronson,Leeds United,"FW,MF",25-064,1,2,911,16,10,2.1,2.1,1.5,21,26,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Zach Abbott,Nott'ham Forest,DF,19-226,0,0,45,1,0,0.0,0.0,0.0,0,1,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Joshua Acheampong,Chelsea,DF,19-234,1,0,349,5,4,0.6,0.6,0.0,4,11,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Tyler Adams,Bournemouth,MF,26-314,2,1,"1,195",15,15,0.5,0.5,0.1,12,61,5,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Tosin Adarabioyo,Chelsea,DF,28-092,0,0,561,9,5,0.1,0.1,0.0,3,18,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Simon Adingra,Sunderland,"FW,MF",23-358,0,0,382,10,5,0.1,0.1,0.6,17,5,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Amine Adli,Bournemouth,"FW,MF",25-229,1,0,394,13,3,1.0,1.0,0.2,10,13,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Emmanuel Agbadou,Wolves,DF,28-191,0,0,"1,011",13,11,0.5,0.5,0.2,5,37,1,1,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Nayef Aguerd,West Ham,DF,29-270,0,0,180,2,2,0.1,0.1,0.0,2,9,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Ola Aina,Nott'ham Forest,DF,29-078,0,0,270,3,3,0.0,0.0,0.1,5,11,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Rayan Aït-Nouri,Manchester City,DF,24-202,0,0,204,5,3,0.0,0.0,0.2,7,7,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Kristoffer Ajer,Brentford,DF,27-252,0,1,613,11,7,0.5,0.5,0.7,6,20,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Nathan Aké,Manchester City,DF,30-310,0,0,227,7,1,0.3,0.3,0.1,4,20,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Carlos Alcaraz,Everton,"MF,FW",23-025,0,1,595,14,5,0.9,0.9,0.8,7,17,3,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Omar Alderete,Sunderland,DF,28-364,1,1,"1,118",13,12,1.0,1.0,0.1,12,47,2,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Alisson,Liverpool,GK,33-084,0,0,"1,080",12,12,0.0,0.0,0.0,0,4,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Ethan Ampadu,Leeds United,MF,25-102,1,0,"1,319",15,15,0.8,0.8,0.1,19,60,4,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
