Player,Squad,Pos,Age,Gls,Ast,Min,MP,Sh,SoT,xG,xAG,Cmp,League,Country,Source,Source_URL,position,age,weekly_gross,annual_gross,currency
Brenden Aaronson,Leeds United,"FW,MF",25-055,1,2,835,15,,,2.1,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,AM,24,45000.0,2340000.0,£
Zach Abbott,Nott'ham Forest,DF,19-217,0,0,45,1,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,19,12500.0,650000.0,£
Joshua Acheampong,Chelsea,DF,19-225,1,0,349,5,,,0.6,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,,,,,
Tyler Adams,Bournemouth,MF,26-305,2,1,"1,195",15,,,0.5,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,DM,26,60000.0,3120000.0,£
Tosin Adarabioyo,Chelsea,DF,28-083,0,0,561,9,,,0.1,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,27,120000.0,6240000.0,£
Simon Adingra,Sunderland,"FW,MF",23-349,0,0,320,9,,,0.1,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,LW,23,70000.0,3640000.0,£
Amine Adli,Bournemouth,"FW,MF",25-220,1,0,393,12,,,0.9,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,LW,25,60000.0,3120000.0,£
Emmanuel Agbadou,Wolves,DF,28-182,0,0,"1,011",13,,,0.5,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,28,85000.0,4420000.0,£
Nayef Aguerd,West Ham,DF,29-261,0,0,180,2,,,0.1,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,,,,,
Ola Aina,Nott'ham Forest,DF,29-069,0,0,270,3,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,RB,28,60000.0,3120000.0,£
Rayan Aït-Nouri,Manchester City,DF,24-193,0,0,204,5,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,LB,24,120000.0,6240000.0,£
Kristoffer Ajer,Brentford,DF,27-243,0,1,613,11,,,0.5,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,27,40000.0,2080000.0,£
Nathan Aké,Manchester City,DF,30-301,0,0,227,7,,,0.3,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,30,160000.0,8320000.0,£
Carlos Alcaraz,Everton,"MF,FW",23-016,0,1,521,13,,,0.7,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CM,22,20000.0,1040000.0,£
Omar Alderete,Sunderland,DF,28-355,1,1,"1,028",12,,,0.7,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,28,65000.0,3380000.0,£
Alisson,Liverpool,GK,33-075,0,0,990,11,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,GK,32,150000.0,7800000.0,£
Ethan Ampadu,Leeds United,MF,25-093,0,0,"1,233",14,,,0.6,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,24,40000.0,2080000.0,£
Joachim Andersen,Fulham,DF,29-199,0,0,"1,301",15,,,0.5,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,29,90000.0,4680000.0,£
Elliot Anderson,Nott'ham Forest,MF,23-040,1,1,"1,440",16,,,1.8,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CM,22,40000.0,2080000.0,£
André,Wolves,MF,24-153,0,0,"1,155",16,,,0.1,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,,,,,
Jaidon Anthony,Burnley,"MF,FW",26-015,4,1,"1,049",16,,,2.4,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,LW,25,45000.0,2340000.0,£
Alphonse Areola,West Ham,GK,32-292,0,1,"1,080",12,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,GK,32,120000.0,6240000.0,£
Jhon Arias,Wolves,"FW,MF",28-086,0,0,810,15,,,2.7,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,RW,27,65000.0,3380000.0,£
Harrison Armstrong,Everton,FW,18-331,0,0,1,1,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CM,18,0.0,0.0,£
Tolu Arokodare,Wolves,FW,25-023,1,0,333,12,,,0.5,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CF,24,75000.0,3900000.0,£
Taiwo Awoniyi,Nott'ham Forest,FW,28-126,0,0,135,4,,,0.2,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CF,28,50000.0,2600000.0,£
Yasin Ayari,Brighton,MF,22-071,1,0,"1,079",14,,,1.2,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CM,21,8000.0,416000.0,£
Benoît Badiashile,Chelsea,DF,24-265,0,0,156,4,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,24,90000.0,4680000.0,£
Dilane Bakwa,Nott'ham Forest,"FW,MF",23-112,0,0,174,4,,,0.1,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,RW,23,70000.0,3640000.0,£
Carlos Baleba,Brighton,MF,21-347,0,0,896,16,,,0.2,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,DM,21,12500.0,650000.0,£
Daniel Ballard,Sunderland,DF,26-085,2,0,"1,032",14,,,1.2,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,25,35000.0,1820000.0,£
Ross Barkley,Aston Villa,MF,32-011,1,0,121,7,,,0.4,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CM,31,60000.0,3120000.0,£
